,Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Growing Rate
0,Afghanistan,80954308.0,85152637.0,91912951.0,100365175.0,112591192.0,123333249.0,133333663.0,143122849.0,153230277.0,165488185.0,178502925.0,120.49836433658355
1,Angola,306185554.0,331671559.0,359237062.0,388101534.0,418243679.0,451429495.0,483802609.0,518260251.0,553021380.0,588372383.0,623762311.0,103.72035938704019
2,Benin,42252514.0,46507328.0,51015261.0,55954206.0,61075490.0,66381011.0,72033650.0,78191884.0,84542220.0,91290139.0,98792204.0,133.81378916293596
3,Bhutan,6066973.0,6467797.0,6835598.0,7299755.0,7967219.0,8721026.0,9574170.0,10493774.0,11481731.0,12596312.0,13762670.0,126.84574333856439
4,Cambodia,47145866.0,50950853.0,55491550.0,60408478.0,65502758.0,70836280.0,76312066.0,82828485.0,89805010.0,97286972.0,105225247.0,123.19082440865547
5,Equatorial Guinea,37610960.0,42110352.0,46726992.0,51402256.0,57524800.0,62636080.0,67794992.0,73137104.0,78973561.0,85431835.0,92146727.0,144.99966765006795
6,Liechtenstein,200764.0,420268.0,625620.0,816426.0,993206.0,1178524.0,1371064.0,1532165.0,1691050.0,1839412.0,2000665.0,896.5257715526689
7,Namibia,30019152.0,33342400.0,36409168.0,39505248.0,42270064.0,45634184.0,48235339.0,51958750.0,55877223.0,59876068.0,63941325.0,113.00176967024252
8,Nepal,53345743.0,56730028.0,60921083.0,65815088.0,71091548.0,76613265.0,82898009.0,90560020.0,98145451.0,106671407.0,115699603.0,116.88629025187633
9,Oman,515631210.0,557741912.0,598256519.0,645006604.0,698269713.0,756612679.0,817269908.0,877643787.0,941864909.0,1006307031.0,1071493410.0,107.80227985036049
